titre,prix,localisation,surface,chambres,salles_de_bain,lien
"Haut Founty - Appart à vendre 108m², 3 ch, 5e",1 240 000,"Appartements dans Agadir, Haut-Founty",110 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/haut_founty/appartements/Haut_Founty___Appart_%C3%A0_vendre_108m%C2%B2__3_ch__5e_57849358.htm
Appartement à vendre 58 m Mdiq 4 min à pied plage,490 000,"Appartements dans Mdiq, Toute la ville",58 m²,2 chambres,1 sdb,https://www.avito.ma/fr/mdiq/appartements/Appartement_%C3%A0_vendre_58_m_Mdiq_4_min_%C3%A0_pied_plage_57822302.htm
Saidia AP2 - Appart de 118m² – proche du Golf,960 000,"Appartements dans Saidia, Toute la ville",118 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/saidia/appartements/Saidia_AP2___Appart_de_118m%C2%B2___proche_du_Golf_57775425.htm
Appartements à vendre près de la station routière Hararine,570 000,"Appartements dans Tanger, Aharrarine",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/aharrarine/appartements/Appartements_%C3%A0_vendre_pr%C3%A8s_de_la_station_routi%C3%A8re_Hararine_57030000.htm
Appartement 3 chambres façade,1 090 000,"Appartements dans Kénitra, Centre",128 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre/appartements/Appartement_3_chambres_fa%C3%A7ade_57327673.htm
Appartement à vendre,950 000,"Appartements dans Tanger, Centre",75 m²,2 chambres,1 sdb,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_57799376.htm
Appartement 3 ch salon 87m2 près Sup de co,920 000,"Appartements dans Marrakech, Bd Moulay Abdellah",87 m²,3 chambres,1 sdb,https://www.avito.ma/fr/bd_moulay_abdellah/appartements/Appartement_3_ch_salon_87m2_pr%C3%A8s_Sup_de_co_57720703.htm
Appartement à vendre 106 m² à Guéliz,1 500 000,"Appartements dans Marrakech, Guéliz",106 m²,2 chambres,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_106_m%C2%B2_%C3%A0_Gu%C3%A9liz_57849496.htm
Appartement à vendre 134 m² à Tanger,2 546 000,"Appartements dans Tanger, De La Plage",134 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/de_la_plage/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Tanger_56300463.htm
"appartement wifaq , résidence avec piscine",1 750 000,"Appartements dans Temara, Wifak",103 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/wifak/appartements/appartement_wifaq___r%C3%A9sidence_avec_piscine_57849146.htm
